#Release 14.6 - par P.68d (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Apr 04 06:38:49 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mCPU_map.ncd
#OUTPUT FILE:      mCPU_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R2,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
R3,,DIFFM,IO_L23P_3,UNUSED,,3,,,,,,,,,
R4,MEM_out<4>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R5,c_out<4>,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R6,MEM_out<30>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
R8,ram_addr_in<8>,IOB,IO_L10P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R9,MEM_out<24>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R10,ram_addr_in<1>,IOB,IO_L15P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R11,c_out<15>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R12,PC_out<0>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R13,PC_out<7>,IOB,IO_L22N_2/A22,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R14,PC_out<4>,IOB,IO_L24N_2/A20,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R15,ram_addr_in<13>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R16,c_out<13>,IOB,IO_L03N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,
R18,ram_addr_in<11>,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T1,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,
T2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
T5,ram_addr_in<5>,IOB,IO_L04N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
T8,c_out<27>,IOB,IO_L10N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,c_out<17>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,PC_out<5>,IOB,IO_L24P_2/A21,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T15,c_out<23>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T16,PC_out<15>,IOB,IO_L26P_2/VS0/A17,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T17,ram_addr_in<10>,IOB,IO_L01N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T18,ram_addr_in<12>,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U1,,IBUF,IP,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
U4,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
U5,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
U6,,IBUF,IP,UNUSED,,2,,,,,,,,,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,,DIFFMI,IP_L11P_2,UNUSED,,2,,,,,,,,,
U9,ram_addr_in<0>,IOB,IO_L13P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U10,,DIFFMI,IP_L14P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,,IBUF,IP,UNUSED,,2,,,,,,,,,
U14,,DIFFSI,IP_L23N_2,UNUSED,,2,,,,,,,,,
U15,c_out<21>,IOB,IO_L25N_2/VS1/A18,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U16,PC_out<1>,IOB,IO_L26N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U17,,,GND,,,,,,,,,,,,
U18,c_out<20>,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,IBUF,IP,UNUSED,,2,,,,,,,,,
V3,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
V4,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
V5,,,NC,,,,,,,,,,,,
V6,,,NC,,,,,,,,,,,,
V7,,,NC,,,,,,,,,,,,
V8,,DIFFSI,IP_L11N_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,c_out<7>,IOB,IO_L13N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,ram_addr_in<4>,IOB,IO/M1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V12,c_out<19>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V13,c_out<18>,IOB,IO_L19N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V14,,DIFFMI,IP_L23P_2,UNUSED,,2,,,,,,,,,
V15,c_out<22>,IOB,IO_L25P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V16,,IBUF,IP,UNUSED,,2,,,,,,,,,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
